# chrony 4.5 C function inventory (doxygen 1.9.8, commit 120dfb8b36b942c31ddfc0220ca1475159ac5031)
# file	n_functions	functions(comma-sep)
hash_intmd5.c	3	HSH_Finalise,HSH_GetHashId,HSH_Hash
hash_nettle.c	3	HSH_Finalise,HSH_GetHashId,HSH_Hash
hash_nss.c	3	HSH_Finalise,HSH_GetHashId,HSH_Hash
hash_tomcrypt.c	3	HSH_Finalise,HSH_GetHashId,HSH_Hash
hwclock.c	7	HCL_AccumulateSample,HCL_CookTime,HCL_CreateInstance,HCL_DestroyInstance,HCL_NeedsNewSample,HCL_ProcessReadings,handle_slew
keys.c	17	KEY_CheckAuth,KEY_CheckKeyLength,KEY_Finalise,KEY_GenerateAuth,KEY_GetAuthLength,KEY_GetKeyInfo,KEY_Initialise,KEY_KeyKnown,KEY_Reload,check_auth,compare_keys_by_id,decode_key,free_keys,generate_auth,get_key,get_key_by_id,lookup_key
local.c	35	LCL_AccumulateDeltaFrequency,LCL_AccumulateFrequencyAndOffset,LCL_AccumulateFrequencyAndOffsetNoHandlers,LCL_AccumulateOffset,LCL_AddDispersionNotifyHandler,LCL_AddParameterChangeHandler,LCL_ApplyStepOffset,LCL_CanSystemLeap,LCL_CancelOffsetCorrection,LCL_CookTime,LCL_Finalise,LCL_GetMaxClockError,LCL_GetOffsetCorrection,LCL_GetSysPrecisionAsLog,LCL_GetSysPrecisionAsQuantum,LCL_Initialise,LCL_IsFirstParameterChangeHandler,LCL_MakeStep,LCL_NotifyExternalTimeStep,LCL_NotifyLeap,LCL_ReadAbsoluteFrequency,LCL_ReadCookedTime,LCL_ReadRawTime,LCL_RemoveDispersionNotifyHandler,LCL_RemoveParameterChangeHandler,LCL_SetAbsoluteFrequency,LCL_SetSyncStatus,LCL_SetSystemLeap,LCL_SetTempComp,check_offset,clamp_freq,invoke_parameter_change_handlers,lcl_InvokeDispersionNotifyHandlers,lcl_RegisterSystemDrivers,measure_clock_precision
logging.c	17	LOG_CloseParentFd,LOG_CycleLogFiles,LOG_FileOpen,LOG_FileWrite,LOG_Finalise,LOG_GetContextSeverity,LOG_GetMinSeverity,LOG_Initialise,LOG_Message,LOG_OpenFileLog,LOG_OpenSystemLog,LOG_SetContext,LOG_SetDebugPrefix,LOG_SetMinSeverity,LOG_SetParentFd,LOG_UnsetContext,log_message
main.c	16	MAI_CleanupAndExit,check_pidfile,delete_pidfile,do_platform_checks,go_daemon,main,ntp_source_resolving_end,parse_int_arg,post_init_ntp_hook,post_init_rtc_hook,print_help,print_version,quit_timeout,reference_mode_end,signal_cleanup,write_pidfile
manual.c	11	MNL_AcceptTimestamp,MNL_DeleteSample,MNL_Disable,MNL_Enable,MNL_Finalise,MNL_Initialise,MNL_IsEnabled,MNL_ReportSamples,MNL_Reset,estimate_and_set_system,slew_samples
md5.c	4	MD5Final,MD5Init,MD5Update,Transform
memory.c	6	Malloc,Malloc2,Realloc,Realloc2,Strdup,get_array_size
nameserv.c	4	DNS_IPAddress2Name,DNS_Name2IPAddress,DNS_Reload,DNS_SetAddressFamily
nameserv_async.c	0	
ntp_auth.c	17	NAU_ChangeAddress,NAU_CheckRequestAuth,NAU_CheckResponseAuth,NAU_CreateNoneInstance,NAU_CreateNtsInstance,NAU_CreateSymmetricInstance,NAU_DestroyInstance,NAU_DumpData,NAU_GenerateRequestAuth,NAU_GenerateResponseAuth,NAU_GetReport,NAU_GetSuggestedNtpVersion,NAU_IsAuthEnabled,NAU_PrepareRequestAuth,check_symmetric_auth,create_instance,generate_symmetric_auth
ntp_core.c	69	NCR_AddAccessRestriction,NCR_AddBroadcastDestination,NCR_ChangeRemoteAddress,NCR_CheckAccessRestriction,NCR_CreateInstance,NCR_DestroyInstance,NCR_DumpAuthData,NCR_Finalise,NCR_GetAuthReport,NCR_GetLocalRefid,NCR_GetNTPReport,NCR_GetRemoteAddress,NCR_IncrementActivityCounters,NCR_Initialise,NCR_InitiateSampleBurst,NCR_IsSyncPeer,NCR_ModifyMaxdelay,NCR_ModifyMaxdelaydevratio,NCR_ModifyMaxdelayratio,NCR_ModifyMaxpoll,NCR_ModifyMinpoll,NCR_ModifyMinstratum,NCR_ModifyPolltarget,NCR_ProcessRxKnown,NCR_ProcessRxUnknown,NCR_ProcessTxKnown,NCR_ProcessTxUnknown,NCR_ReportSource,NCR_ResetInstance,NCR_ResetPoll,NCR_SetConnectivity,NCR_SlewTimes,NCR_StartInstance,add_ef_mono_root,add_ef_net_correction,adjust_poll,apply_net_correction,broadcast_timeout,check_delay_dev_ratio,check_delay_quant,check_delay_ratio,check_sync_loop,close_client_socket,do_size_checks,do_time_checks,get_poll_adj,get_separation,get_transmit_delay,get_transmit_poll,handle_slew,has_saved_response,is_exp_ef,is_zero_data,parse_packet,process_response,process_sample,process_saved_response,receive_timeout,reset_report,restart_timeout,save_response,saved_response_timeout,set_connectivity,start_initial_timeout,take_offline,transmit_packet,transmit_timeout,update_tx_timestamp,zero_local_timestamp
ntp_ext.c	6	NEF_AddBlankField,NEF_AddField,NEF_ParseField,NEF_ParseSingleField,NEF_SetField,format_field
ntp_io.c	19	NIO_CloseClientSocket,NIO_CloseServerSocket,NIO_Finalise,NIO_Initialise,NIO_IsHwTsEnabled,NIO_IsServerConnectable,NIO_IsServerSocket,NIO_IsServerSocketOpen,NIO_OpenClientSocket,NIO_OpenServerSocket,NIO_SendPacket,NIO_UnwrapMessage,close_socket,is_ptp_socket,open_separate_client_socket,open_socket,process_message,read_from_socket,wrap_message
ntp_io_linux.c	16	NIO_Linux_Finalise,NIO_Linux_Initialise,NIO_Linux_IsHwTsEnabled,NIO_Linux_ProcessMessage,NIO_Linux_RequestTxTimestamp,NIO_Linux_SetTimestampSocketOptions,add_all_interfaces,add_interface,extract_udp_data,get_interface,open_dummy_socket,poll_phc,poll_timeout,process_hw_timestamp,process_sw_timestamp,update_interface_speed
ntp_signd.c	7	NSD_Finalise,NSD_Initialise,NSD_SignAndSendPacket,close_socket,open_socket,process_response,read_write_socket
ntp_sources.c	58	NSR_AddSource,NSR_AddSourceByName,NSR_AutoStartSources,NSR_DumpAuthData,NSR_Finalise,NSR_GetActivityReport,NSR_GetAuthReport,NSR_GetLocalRefid,NSR_GetNTPReport,NSR_GetName,NSR_HandleBadSource,NSR_Initialise,NSR_InitiateSampleBurst,NSR_ModifyMaxdelay,NSR_ModifyMaxdelaydevratio,NSR_ModifyMaxdelayratio,NSR_ModifyMaxpoll,NSR_ModifyMinpoll,NSR_ModifyMinstratum,NSR_ModifyPolltarget,NSR_ProcessRx,NSR_ProcessTx,NSR_RefreshAddresses,NSR_RemoveAllSources,NSR_RemoveSource,NSR_RemoveSourcesById,NSR_ReportSource,NSR_ResolveSources,NSR_SetConnectivity,NSR_SetSourceResolvingEndHandler,NSR_StartSources,NSR_StatusToString,NSR_UpdateSourceNtpAddress,add_source,append_unresolved_source,change_source_address,check_hashtable_size,clean_source_record,find_slot,find_slot2,get_next_conf_id,get_pool,get_record,get_unused_pool_id,handle_saved_address_update,is_resolved,log_source,maybe_refresh_source,name_resolve_handler,process_resolved_name,rehash_records,remove_pool_sources,remove_unresolved_source,replace_source_connectable,resolve_source_replacement,resolve_sources,resolve_sources_timeout,slew_sources
nts_ke_client.c	10	NKC_CreateInstance,NKC_DestroyInstance,NKC_GetNtsData,NKC_GetRetryFactor,NKC_IsActive,NKC_Start,handle_message,name_resolve_handler,prepare_request,process_response
nts_ke_server.c	21	NKS_DecodeCookie,NKS_DumpKeys,NKS_Finalise,NKS_GenerateCookie,NKS_Initialise,NKS_PreInitialise,NKS_ReloadKeys,accept_connection,generate_key,handle_client,handle_helper_request,handle_message,helper_signal,key_timeout,load_keys,open_socket,prepare_response,process_request,run_helper,save_keys,update_key_siv
nts_ke_session.c	32	NKSN_AddRecord,NKSN_BeginMessage,NKSN_CreateClientCertCredentials,NKSN_CreateInstance,NKSN_CreateServerCertCredentials,NKSN_DestroyCertCredentials,NKSN_DestroyInstance,NKSN_EndMessage,NKSN_GetKeys,NKSN_GetRecord,NKSN_GetRetryFactor,NKSN_IsStopped,NKSN_StartSession,NKSN_StopSession,add_record,change_state,check_alpn,check_message_format,create_credentials,create_tls_session,deinit_gnutls,get_record,get_time,handle_event,handle_step,init_gnutls,read_write_socket,reset_message,reset_message_parsing,session_timeout,set_input_output,stop_session
nts_ntp_auth.c	4	NNA_DecryptAuthEF,NNA_GenerateAuthEF,get_padded_length,get_padding_length
nts_ntp_client.c	17	NNC_ChangeAddress,NNC_CheckResponseAuth,NNC_CreateInstance,NNC_DestroyInstance,NNC_DumpData,NNC_GenerateRequestAuth,NNC_GetReport,NNC_PrepareForAuth,check_cookies,extract_cookies,get_cookies,load_cookies,parse_encrypted_efs,reset_instance,save_cookies,set_ntp_address,update_next_nke_attempt
nts_ntp_server.c	4	NNS_CheckRequestAuth,NNS_Finalise,NNS_GenerateResponseAuth,NNS_Initialise
pktlength.c	3	PKL_CommandLength,PKL_CommandPaddingLength,PKL_ReplyLength
privops.c	12	PRV_Finalise,PRV_Initialise,PRV_StartHelper,have_helper,helper_main,receive_from_daemon,receive_response,res_fatal,send_request,send_response,stop_helper,submit_request
quantiles.c	8	QNT_Accumulate,QNT_CreateInstance,QNT_DestroyInstance,QNT_GetMinK,QNT_GetQuantile,QNT_Reset,insert_initial_value,update_estimate
